Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Scorecard Link
Sri Lanka,Pakistan,Sri Lanka,165 runs,Hambantota,"Jul 26, 2015",3672,https://www.espncricinfo.com/series/pakistan-tour-of-sri-lanka-2015-860091/sri-lanka-vs-pakistan-5th-odi-860277/full-scorecard
Sri Lanka,Pakistan,Pakistan,7 wickets,Colombo (RPS),"Jul 22, 2015",3671,https://www.espncricinfo.com/series/pakistan-tour-of-sri-lanka-2015-860091/sri-lanka-vs-pakistan-4th-odi-860275/full-scorecard
Sri Lanka,Pakistan,Pakistan,135 runs,Colombo (RPS),"Jul 19, 2015",3670,https://www.espncricinfo.com/series/pakistan-tour-of-sri-lanka-2015-860091/sri-lanka-vs-pakistan-3rd-odi-860273/full-scorecard
Bangladesh,South Africa,Bangladesh,9 wickets,Chattogram,"Jul 15, 2015",3668,https://www.espncricinfo.com/series/south-africa-tour-of-bangladesh-2015-817095/bangladesh-vs-south-africa-3rd-odi-817211/full-scorecard
Sri Lanka,Pakistan,Sri Lanka,2 wickets,Pallekele,"Jul 15, 2015",3669,https://www.espncricinfo.com/series/pakistan-tour-of-sri-lanka-2015-860091/sri-lanka-vs-pakistan-2nd-odi-860271/full-scorecard
Zimbabwe,India,India,83 runs,Harare,"Jul 14, 2015",3667,https://www.espncricinfo.com/series/india-tour-of-zimbabwe-2015-885951/zimbabwe-vs-india-3rd-odi-885967/full-scorecard
Bangladesh,South Africa,Bangladesh,7 wickets,Mirpur,"Jul 12, 2015",3666,https://www.espncricinfo.com/series/south-africa-tour-of-bangladesh-2015-817095/bangladesh-vs-south-africa-2nd-odi-817209/full-scorecard
Zimbabwe,India,India,62 runs,Harare,"Jul 12, 2015",3665,https://www.espncricinfo.com/series/india-tour-of-zimbabwe-2015-885951/zimbabwe-vs-india-2nd-odi-885965/full-scorecard
Sri Lanka,Pakistan,Pakistan,6 wickets,Dambulla,"Jul 11, 2015",3664,https://www.espncricinfo.com/series/pakistan-tour-of-sri-lanka-2015-860091/sri-lanka-vs-pakistan-1st-odi-860269/full-scorecard
Bangladesh,South Africa,South Africa,8 wickets,Mirpur,"Jul 10, 2015",3663,https://www.espncricinfo.com/series/south-africa-tour-of-bangladesh-2015-817095/bangladesh-vs-south-africa-1st-odi-817207/full-scorecard
Zimbabwe,India,India,4 runs,Harare,"Jul 10, 2015",3662,https://www.espncricinfo.com/series/india-tour-of-zimbabwe-2015-885951/zimbabwe-vs-india-1st-odi-885959/full-scorecard
Bangladesh,India,India,77 runs,Mirpur,"Jun 24, 2015",3661,https://www.espncricinfo.com/series/india-tour-of-bangladesh-2015-870723/bangladesh-vs-india-3rd-odi-870735/full-scorecard
Bangladesh,India,Bangladesh,6 wickets,Mirpur,"Jun 21, 2015",3660,https://www.espncricinfo.com/series/india-tour-of-bangladesh-2015-870723/bangladesh-vs-india-2nd-odi-870733/full-scorecard
England,New Zealand,England,3 wickets,Chester-le-Street,"Jun 20, 2015",3659,https://www.espncricinfo.com/series/new-zealand-tour-of-england-2015-743909/england-vs-new-zealand-5th-odi-743951/full-scorecard
Bangladesh,India,Bangladesh,79 runs,Mirpur,"Jun 18, 2015",3658,https://www.espncricinfo.com/series/india-tour-of-bangladesh-2015-870723/bangladesh-vs-india-1st-odi-870731/full-scorecard
England,New Zealand,England,7 wickets,Nottingham,"Jun 17, 2015",3657,https://www.espncricinfo.com/series/new-zealand-tour-of-england-2015-743909/england-vs-new-zealand-4th-odi-743949/full-scorecard
England,New Zealand,New Zealand,3 wickets,Southampton,"Jun 14, 2015",3656,https://www.espncricinfo.com/series/new-zealand-tour-of-england-2015-743909/england-vs-new-zealand-3rd-odi-743947/full-scorecard
England,New Zealand,New Zealand,13 runs,The Oval,"Jun 12, 2015",3655,https://www.espncricinfo.com/series/new-zealand-tour-of-england-2015-743909/england-vs-new-zealand-2nd-odi-743945/full-scorecard
England,New Zealand,England,210 runs,Birmingham,"Jun 9, 2015",3654,https://www.espncricinfo.com/series/new-zealand-tour-of-england-2015-743909/england-vs-new-zealand-1st-odi-743943/full-scorecard
Pakistan,Zimbabwe,no result,-,Lahore,"May 31, 2015",3653,https://www.espncricinfo.com/series/zimbabwe-tour-of-pakistan-2015-868505/pakistan-vs-zimbabwe-3rd-odi-868731/full-scorecard
Pakistan,Zimbabwe,Pakistan,6 wickets,Lahore,"May 29, 2015",3652,https://www.espncricinfo.com/series/zimbabwe-tour-of-pakistan-2015-868505/pakistan-vs-zimbabwe-2nd-odi-868729/full-scorecard
Pakistan,Zimbabwe,Pakistan,41 runs,Lahore,"May 26, 2015",3651,https://www.espncricinfo.com/series/zimbabwe-tour-of-pakistan-2015-868505/pakistan-vs-zimbabwe-1st-odi-868727/full-scorecard
Ireland,England,no result,-,Dublin (Malahide),"May 8, 2015",3650,https://www.espncricinfo.com/series/england-tour-of-ireland-2015-760893/ireland-vs-england-only-odi-760889/full-scorecard
Bangladesh,Pakistan,Bangladesh,8 wickets,Mirpur,"Apr 22, 2015",3649,https://www.espncricinfo.com/series/pakistan-tour-of-bangladesh-2015-856311/bangladesh-vs-pakistan-3rd-odi-858489/full-scorecard
Bangladesh,Pakistan,Bangladesh,7 wickets,Mirpur,"Apr 19, 2015",3648,https://www.espncricinfo.com/series/pakistan-tour-of-bangladesh-2015-856311/bangladesh-vs-pakistan-2nd-odi-858487/full-scorecard
Bangladesh,Pakistan,Bangladesh,79 runs,Mirpur,"Apr 17, 2015",3647,https://www.espncricinfo.com/series/pakistan-tour-of-bangladesh-2015-856311/bangladesh-vs-pakistan-1st-odi-858485/full-scorecard
Australia,New Zealand,Australia,7 wickets,Melbourne,"Mar 29, 2015",3646,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/australia-vs-new-zealand-final-656495/full-scorecard
Australia,India,Australia,95 runs,Sydney,"Mar 26, 2015",3645,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/australia-vs-india-2nd-semi-final-656493/full-scorecard
New Zealand,South Africa,New Zealand,4 wickets,Auckland,"Mar 24, 2015",3644,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-south-africa-1st-semi-final-656491/full-scorecard
New Zealand,West Indies,New Zealand,143 runs,Wellington,"Mar 21, 2015",3643,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-west-indies-4th-quarter-final-656489/full-scorecard
Australia,Pakistan,Australia,6 wickets,Adelaide,"Mar 20, 2015",3642,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/australia-vs-pakistan-3rd-quarter-final-656487/full-scorecard
Bangladesh,India,India,109 runs,Melbourne,"Mar 19, 2015",3641,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/bangladesh-vs-india-2nd-quarter-final-656485/full-scorecard
South Africa,Sri Lanka,South Africa,9 wickets,Sydney,"Mar 18, 2015",3640,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/south-africa-vs-sri-lanka-1st-quarter-final-656483/full-scorecard
Ireland,Pakistan,Pakistan,7 wickets,Adelaide,"Mar 15, 2015",3639,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/ireland-vs-pakistan-42nd-match-pool-b-656481/full-scorecard
U.A.E.,West Indies,West Indies,6 wickets,Napier,"Mar 15, 2015",3638,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/united-arab-emirates-vs-west-indies-41st-match-pool-b-656479/full-scorecard
Australia,Scotland,Australia,7 wickets,Hobart,"Mar 14, 2015",3637,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/australia-vs-scotland-40th-match-pool-a-656477/full-scorecard
India,Zimbabwe,India,6 wickets,Auckland,"Mar 14, 2015",3636,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/india-vs-zimbabwe-39th-match-pool-b-656475/full-scorecard
Afghanistan,England,England,9 wickets,Sydney,"Mar 13, 2015",3635,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/afghanistan-vs-england-38th-match-pool-a-656473/full-scorecard
New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,"Mar 13, 2015",3634,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-bangladesh-37th-match-pool-a-656471/full-scorecard
South Africa,U.A.E.,South Africa,146 runs,Wellington,"Mar 12, 2015",3633,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/south-africa-vs-united-arab-emirates-36th-match-pool-b-656469/full-scorecard
Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,"Mar 11, 2015",3632,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/scotland-vs-sri-lanka-35th-match-pool-a-656467/full-scorecard
India,Ireland,India,8 wickets,Hamilton,"Mar 10, 2015",3631,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/india-vs-ireland-34th-match-pool-b-656465/full-scorecard
Bangladesh,England,Bangladesh,15 runs,Adelaide,"Mar 9, 2015",3630,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/bangladesh-vs-england-33rd-match-pool-a-656463/full-scorecard
Australia,Sri Lanka,Australia,64 runs,Sydney,"Mar 8, 2015",3629,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/australia-vs-sri-lanka-32nd-match-pool-a-656461/full-scorecard
New Zealand,Afghanistan,New Zealand,6 wickets,Napier,"Mar 8, 2015",3628,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-afghanistan-31st-match-pool-a-656459/full-scorecard
Ireland,Zimbabwe,Ireland,5 runs,Hobart,"Mar 7, 2015",3627,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/ireland-vs-zimbabwe-30th-match-pool-b-656457/full-scorecard
Pakistan,South Africa,Pakistan,29 runs,Auckland,"Mar 7, 2015",3626,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/pakistan-vs-south-africa-29th-match-pool-b-656455/full-scorecard
India,West Indies,India,4 wickets,Perth,"Mar 6, 2015",3625,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/india-vs-west-indies-28th-match-pool-b-656453/full-scorecard
Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,"Mar 5, 2015",3624,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/bangladesh-vs-scotland-27th-match-pool-a-656451/full-scorecard
Australia,Afghanistan,Australia,275 runs,Perth,"Mar 4, 2015",3623,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/australia-vs-afghanistan-26th-match-pool-a-656449/full-scorecard
Pakistan,U.A.E.,Pakistan,129 runs,Napier,"Mar 4, 2015",3622,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/pakistan-vs-united-arab-emirates-25th-match-pool-b-656447/full-scorecard
Ireland,South Africa,South Africa,201 runs,Canberra,"Mar 3, 2015",3621,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/ireland-vs-south-africa-24th-match-pool-b-656445/full-scorecard
Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,"Mar 1, 2015",3620,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/pakistan-vs-zimbabwe-23rd-match-pool-b-656443/full-scorecard
England,Sri Lanka,Sri Lanka,9 wickets,Wellington,"Mar 1, 2015",3619,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/england-vs-sri-lanka-22nd-match-pool-a-656441/full-scorecard
India,U.A.E.,India,9 wickets,Perth,"Feb 28, 2015",3618,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/india-vs-united-arab-emirates-21st-match-pool-b-656439/full-scorecard
New Zealand,Australia,New Zealand,1 wicket,Auckland,"Feb 28, 2015",3617,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-australia-20th-match-pool-a-656437/full-scorecard
South Africa,West Indies,South Africa,257 runs,Sydney,"Feb 27, 2015",3616,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/south-africa-vs-west-indies-19th-match-pool-b-656435/full-scorecard
Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,"Feb 26, 2015",3615,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/bangladesh-vs-sri-lanka-18th-match-pool-a-656433/full-scorecard
Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,"Feb 26, 2015",3614,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/afghanistan-vs-scotland-17th-match-pool-a-656431/full-scorecard
Ireland,U.A.E.,Ireland,2 wickets,Brisbane,"Feb 25, 2015",3613,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/ireland-vs-united-arab-emirates-16th-match-pool-b-656429/full-scorecard
West Indies,Zimbabwe,West Indies,73 runs,Canberra,"Feb 24, 2015",3612,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/west-indies-vs-zimbabwe-15th-match-pool-b-656427/full-scorecard
England,Scotland,England,119 runs,Christchurch,"Feb 23, 2015",3611,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/england-vs-scotland-14th-match-pool-a-656425/full-scorecard
India,South Africa,India,130 runs,Melbourne,"Feb 22, 2015",3610,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/india-vs-south-africa-13th-match-pool-b-656423/full-scorecard
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,"Feb 22, 2015",3609,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/afghanistan-vs-sri-lanka-12th-match-pool-a-656421/full-scorecard
Pakistan,West Indies,West Indies,150 runs,Christchurch,"Feb 21, 2015",3608,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/pakistan-vs-west-indies-10th-match-pool-b-656417/full-scorecard
New Zealand,England,New Zealand,8 wickets,Wellington,"Feb 20, 2015",3607,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-england-9th-match-pool-a-656415/full-scorecard
U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,"Feb 19, 2015",3606,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/united-arab-emirates-vs-zimbabwe-8th-match-pool-b-656413/full-scorecard
