player_name,player_id,url,team1,team2,winner,ground,margin,matchDate,matchDate2,scorecard
Dennis Lillee,6295,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard,Australia,England,England,Sydney,2 wickets,"Jan 14, 1980","Jan 14, 1980",83
Julien Wiener,8224,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard,Australia,England,England,Sydney,2 wickets,"Jan 14, 1980","Jan 14, 1980",83
Rick McCosker,6547,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard,Australia,England,England,Sydney,2 wickets,"Jan 14, 1980","Jan 14, 1980",83
