,928067,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340,Ireland
Takudzwanashe Kaitano,493765,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Zimbabwe
Regis Chakabva,293831,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Zimbabwe
Craig Ervine,55412,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Zimbabwe
Sean Williams,55870,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Zimbabwe
Wessly Madhevere,938959,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Zimbabwe
Sikandar Raza,299572,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Zimbabwe
Ryan Burl,495964,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Zimbabwe
Wellington Masakadza,571703,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Zimbabwe
Blessing Muzarabani,827051,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Zimbabwe
Tendai Chatara,425639,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Zimbabwe
Richard Ngarava,806241,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Zimbabwe
Pathum Nissanka,1028655,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Sri Lanka
Kusal Mendis,629074,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Sri Lanka
Kamindu Mendis,784373,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Sri Lanka
Dinesh Chandimal,300628,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Sri Lanka
Charith Asalanka,784367,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Sri Lanka
Dasun Shanaka,437316,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-1st-odi-1294969/full-scorecard,Sri Lanka,Zimbabwe,Sri Lanka,Pallekele,5 wickets,"Jan 16, 2022","Jan 16, 2022",4341,Sri Lanka
