Craig Young,364343,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339
Josh Little,928067,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339
Shai Hope,581379,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Justin Greaves,510823,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Nicholas Pooran,604302,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Shamarh Brooks,230555,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Roston Chase,391832,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Kieron Pollard,230559,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Jason Holder,391485,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Akeal Hosein,530812,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Romario Shepherd,677077,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Odean Smith,820691,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Alzarri Joseph,670031,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
William Porterfield,24611,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Paul Stirling,303427,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Andy McBrine,417381,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Harry Tector,961407,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Curtis Campher,595921,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
George Dockrell,348034,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
Gareth Delany,1099379,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
,1112535,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
,526441,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
,364343,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
,928067,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-2nd-odi-1277086/full-scorecard,West Indies,Ireland,Ireland,Kingston,5 wickets,"Jan 13, 2022","Jan 13, 2022",4340
