Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Scorecard Link
Australia,New Zealand,Australia,6 wickets,Sydney,"Feb 3, 1981",114,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1980-81-60812/australia-vs-new-zealand-4th-final-65318/full-scorecard
West Indies,England,West Indies,2 runs,Kingstown,"Feb 4, 1981",115,https://www.espncricinfo.com/series/england-tour-of-west-indies-1980-81-61745/west-indies-vs-england-1st-odi-64176/full-scorecard
New Zealand,India,New Zealand,78 runs,Auckland,"Feb 14, 1981",116,https://www.espncricinfo.com/series/india-tour-of-new-zealand-1980-81-62317/new-zealand-vs-india-1st-odi-64177/full-scorecard
New Zealand,India,New Zealand,57 runs,Hamilton,"Feb 15, 1981",117,https://www.espncricinfo.com/series/india-tour-of-new-zealand-1980-81-62317/new-zealand-vs-india-2nd-odi-64178/full-scorecard
West Indies,England,West Indies,6 wickets,Albion,"Feb 26, 1981",118,https://www.espncricinfo.com/series/england-tour-of-west-indies-1980-81-61745/west-indies-vs-england-2nd-odi-64179/full-scorecard
England,Australia,England,6 wickets,Lord's,"Jun 4, 1981",119,https://www.espncricinfo.com/series/australia-tour-of-england-1981-61357/england-vs-australia-1st-odi-64969/full-scorecard
England,Australia,Australia,2 runs,Birmingham,"Jun 6, 1981",120,https://www.espncricinfo.com/series/australia-tour-of-england-1981-61357/england-vs-australia-2nd-odi-64970/full-scorecard
England,Australia,Australia,71 runs,Leeds,"Jun 8, 1981",121,https://www.espncricinfo.com/series/australia-tour-of-england-1981-61357/england-vs-australia-3rd-odi-64971/full-scorecard
Pakistan,West Indies,West Indies,18 runs,Melbourne,"Nov 21, 1981",122,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1981-82-60816/pakistan-vs-west-indies-1st-match-65319/full-scorecard
Australia,Pakistan,Pakistan,4 wickets,Melbourne,"Nov 22, 1981",123,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1981-82-60816/australia-vs-pakistan-2nd-match-65320/full-scorecard
